nano-syntax-highlighting 2022.11.02.r102.gbb94603-1
nautilus 48.1-1.1
ncmpcpp 0.10.1-4.1
neohtop 1.1.2-1
neovide 0.15.0-1.1
neovim 0.11.1-2.1
netctl 1.29-2
networkmanager-openvpn 1.12.0-1.1
nfs-utils 2.8.3-2.1
nilfs-utils 2.2.11-1.1
niri 25.02-1
nitrogen 1.6.1-6.1
nodejs-lts-iron 20.19.1-1.1
nodejs-node-red 4.0.9-1
noto-color-emoji-fontconfig 1.0.0-2
noto-fonts 1:2025.05.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.047-1
nss-mdns 0.15.1-2.1
ntp 4.2.8.p18-3
nwg-displays 0.3.25-1
nwg-look 1.0.4-1.1
octopi 0.17.0-1
ollama 0.6.8-1.1
openbsd-netcat 1.228_1-1.1
opencl-rusticl-mesa 1:25.0.5-2
opendesktop-fonts 1.4.2-7
openssh 10.0p1-3.1
os-prober 1.83-1.1
pacman-contrib 1.11.0-1.1
pam-fprint-grosshack 0.3.0-1
pamixer 1.6-3.1
paru 2.0.4-1
pavucontrol 1:6.1-1.1
perl 5.40.2-1.1
perl-geoip 1.51-3.1
picom 12.5-2.1
pigz 2.8-2.1
pipewire-alsa 1:1.4.2-1.1
pipewire-pulse 1:1.4.2-1.1
plasma-browser-integration 6.3.4-1.1
plocate 1.1.23-1.1
plymouth 24.004.60-10.1
polkit-kde-agent 6.3.4-1.1
poppler-glib 25.04.0-1
postman-bin 11.43.2-1
power-profiles-daemon 0.30-2
profile-sync-daemon 1:6.50-2
pulse-native-provider 1:1.4.2-1.1
pv 1.9.31-1.1
python 3.13.3-2
python-defusedxml 0.7.1-7
python-fabric-git r182.1831ced-1
python-ijson 3.3.0-1.1
python-loguru 0.7.3-1
python-packaging 25.0-1
python-pip 25.1.1-1
python-pyjson5 1.6.8-1
python-pytomlpp 1.0.13-1
python-watchdog 6.0.0-1
pywal-git 3.3.0.r134.g236aa48-3
qemu-full 9.2.3-1
qt6-virtualkeyboard 6.9.0-1.1
qtile 0.31.0-1
rainfall 1.0.1-2
rebuild-detector 4.4.5-1
redis 7.2.5-1.1
redshift 1.12-14.1
reflector 2023-3
rofi 1.7.8-2.1
